Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2017-04-17,Deadlift,Back,150.0,3,,,,""
2017-04-17,Deadlift,Back,155.0,3,,,,""
2017-04-17,Deadlift,Back,160.0,3,,,,""
2017-04-17,Deadlift,Back,165.0,3,,,,""
2017-04-17,Deadlift,Back,170.0,3,,,,""
2017-04-17,Chin Up,Back,0.0,10,,,,""
2017-04-17,Chin Up,Back,0.0,10,,,,""
2017-04-17,Chin Up,Back,0.0,10,,,,""
2017-04-17,Chin Up,Back,0.0,10,,,,""
2017-04-17,Chin Up,Back,0.0,10,,,,""
2017-04-17,Plank,Abs,0.0,30,,,,""
2017-04-17,Plank,Abs,0.0,30,,,,""
2017-04-17,Plank,Abs,0.0,30,,,,""
2017-04-17,Plank,Abs,0.0,30,,,,""
2017-04-17,Plank,Abs,0.0,30,,,,""
2017-04-17,Glute-Ham Raise,Legs,10.0,12,,,,""
2017-04-17,Glute-Ham Raise,Legs,10.0,12,,,,""
2017-04-17,Glute-Ham Raise,Legs,10.0,12,,,,""
2017-04-17,Glute-Ham Raise,Legs,10.0,12,,,,""
2017-04-17,T-Bar Row,Back,45.0,12,,,,""
2017-04-17,T-Bar Row,Back,45.0,12,,,,""
2017-04-17,T-Bar Row,Back,45.0,12,,,,""
2017-04-17,T-Bar Row,Back,45.0,12,,,,""
2017-04-17,Seated Cable Row,Back,70.0,12,,,,""
2017-04-17,Seated Cable Row,Back,70.0,12,,,,""
2017-04-17,Seated Cable Row,Back,70.0,12,,,,""
2017-04-17,Seated Cable Row,Back,70.0,12,,,,""
2017-04-17,Rowing Machine,Cardio,,,200.0,m,0:01:48,""
2017-04-20,Safety Squat Bar,Legs,110.0,10,,,,""
2017-04-20,Safety Squat Bar,Legs,110.0,8,,,,""
2017-04-20,Safety Squat Bar,Legs,110.0,8,,,,""
2017-04-20,Safety Squat Bar,Legs,110.0,8,,,,""
2017-04-20,Goblet Squats,Legs,35.0,6,,,,""
2017-04-20,Goblet Squats,Legs,40.0,6,,,,""
2017-04-20,Goblet Squats,Legs,46.0,6,,,,""
2017-04-20,Leg Extension Machine,Legs,10.0,15,,,,""
2017-04-20,Leg Extension Machine,Legs,10.0,15,,,,""
2017-04-20,Leg Extension Machine,Legs,10.0,15,,,,""
2017-04-20,Leg Extension Machine,Legs,10.0,15,,,,""
2017-04-20,Farmer Carry,Legs,200.0,20,,,,""
2017-04-24,Deadlift,Back,60.0,5,,,,""
2017-04-24,Deadlift,Back,60.0,5,,,,""
2017-04-24,Deadlift,Back,110.0,2,,,,""
2017-04-24,Deadlift,Back,140.0,2,,,,""
2017-04-24,Deadlift,Back,170.0,1,,,,""
2017-04-24,Deadlift,Back,175.0,3,,,,""
2017-04-24,Deadlift,Back,177.5,3,,,,""
2017-04-24,Plank,Abs,0.0,30,,,,""
2017-04-24,Plank,Abs,0.0,30,,,,""
2017-04-24,Deadlift,Back,180.0,3,,,,""
2017-04-24,Plank,Abs,0.0,30,,,,""
2017-04-24,Deadlift,Back,182.5,3,,,,""
2017-04-24,Deadlift,Back,185.0,3,,,,""
2017-04-24,Glute-Ham Raise,Legs,0.0,12,,,,""
2017-04-24,T-Bar Row,Back,40.0,12,,,,""
2017-04-24,Decline Crunch,Abs,0.0,12,,,,""
2017-04-24,Decline Crunch,Abs,10.0,10,,,,""
2017-04-24,T-Bar Row,Back,45.0,12,,,,""
